Record ID,Institution Name:,Please indicate your gender:,Please indicate your racial/ethnic identity:  (You may select more than one option.),What is your current marital status?  (You may select more than one option.),Please indicate your current appointment:  (You may select more than one option.),Track: Other,"In your career as faculty, have you had any leadership title or role?","In your career as faculty, how many leadership positions have you held?","What is the highest incentivized leadership position have you had?  (Incentives may be monetary, less clinic time, etc.)","As faculty, on average, how many publications have you published per year in peer-reviewed journals over the last 5 years?",How many publications were you first or last author?,"What is the total number of funded projects or studies to date?  (A funded project or study is defined as one for which you were a principal investigator (PI), co-PI, site PI, or co-investigator receiving salary support.)",Please select the types of funding sources for your projects or studies.  (You may select more than one option.),Funding Sources: Other,"What is the maximum funding for a single grant or funding source you have received as faculty? (in US dollars, including total cost (direct and indirect))","As faculty, how many total awards have you received to date?",At which level were the awards given?  (You may select more than one option.),Level of awards: Other,"As faculty, how many total times have you been invited as a guest speaker?  (A guest speaking engagement is defined as occurring outside your current department ex. grand rounds, workshop lead, panelist.)",At which level were the guest speaking engagements given?  (You may select more than one option.),Level of guest speaking arrangements: Other,The demands of my family and/or spouse/partner interfere with my work-related activities.,I have to put off doing things at work because of the demands on my time at home.,Things I want to do at work do not get done because of the demands of my family and/or spouse/partner.,"My home life interferes with my responsibilities at work such as getting to work on time, accomplishing daily tasks, and working overtime.",Family-related strain interferes with my ability to perform job-related duties.,Domestic responsibilities are shared equally with spouse/partner.,Taking care of children when they are sick at home,Taking days off from work when children are sick,"Handling chores related to childcare (eg, laundry, cooking, cleaning)",Managing children's activities and schedule,Playing or doing activities with children,Does your work/career interfere with your personal life?,In what ways does your work/career interfere with your personal life?,Are you interested in answering questions on burnout?,Why are you not interested in answering questions on burnout?,"In general, how do you feel about your time? Would you say that you feel rushed?","Pre-COVID: Overall, based on your definition of burnout, how would you rate your level of burnout?",I deal very effectively with the problems of my patients.,I feel I treat some patients as if they were impersonal objects.,I feel emotionally drained from my work.,I feel fatigued when I get up in the morning and have to face another day on the job.,I've become more callous towards people since I took this job.,I feel I'm positively influencing other people's lives through my work.,Working with people all day is really a strain for me.,I don't really care what happens to some patients.,I feel exhilarated after working closely with my patients.
11,6,Prefer not to answer,Asian,Married,Academic Track - Teaching,,Yes,7,35,2,5,1,Other: {sourceetc},,150000,7,National,,25,"Institutional,Regional,National,International",,Disagree (3),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Very Strongly Agree (7),Partner does more,Partner does more,Partner does more,Partner does more,Partner does more,Sometimes,,No,Survey fatigue,,,,,,,,,,,
12,6,Man,White,Married,Tenure Track,,Yes,5,Huh??,6,3,15,"NIH grants,Institutional grants,Not-for-profit organizational grants,Foundational grants,Industry trials,Other: {sourceetc}",Gifts,,10,"Institutional,National",,50,"Institutional,Local,Regional,National,International",,Disagree (3),Disagree (3),Strongly Disagree (2),Neither Agree or Disagree (4),Disagree (3),Agree (5),Does not apply,Does not apply,Partner does more,Does not apply,Does not apply,Sometimes,,No,Survey fatigue,,,,,,,,,,,
13,6,Man,Prefer not to say,Married,Tenure Track,,Yes,3,Almost nothing ,2,10,6,"NIH grants,Institutional grants,Foundational grants",,1.5,7,National,,20,"Institutional,Local,Regional,National,International",,Strongly Agree (6),Agree (5),Agree (5),Strongly Agree (6),Agree (5),Disagree (3),Partner does more,Partner does more,Share equally,Partner does more,Share equally,Often,Many hours at work,No,Survey fatigue,,,,,,,,,,,
14,6,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,9,9,2,"Not-for-profit organizational grants,Industry trials",,10000,1,National,,1,Local,,Strongly Disagree (2),Disagree (3),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),,,,,,Rarely,,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,A few times per month,Once per month or less,Once per week,Once per month or less,A few times per week,Once per week,Once per month or less,A few times per week
15,6,Man,White,Divorced,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Research",,Yes,6,Vice Chair,7,15,20,"NIH grants,Institutional grants,Not-for-profit organizational grants,Foundational grants,Industry trials",,2500000,20,"Institutional,Local,Regional,National",,20,"Institutional,Local,Regional,National,International",,Agree (5),Agree (5),Agree (5),Agree (5),Agree (5),N/A,I do more,I do more,I do more,I do more,I do more,Often,"inability to focus on family, constant interruptions or works needs",No,Already answered in a previous burnout survey,,,,,,,,,,,
16,6,Woman,Asian,Single,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,1,None,1,0,1,Industry trials,,,0,,,2,"Institutional,Local",,N/A,Neither Agree or Disagree (4),N/A,Disagree (3),N/A,N/A,,,,,,Sometimes,,Yes,,Sometimes feel rushed,3 Moderately burned out,A few times per week,A few times per year,Once per week,A few times per month,Once per month or less,A few times per month,Once per month or less,A few times per year,Once per week
17,6,Man,White,Married,Tenure Track,,Yes,5,Dept. Chair,10,5,6,"NIH grants,Not-for-profit organizational grants,Foundational grants,Medical societies,Other: {sourceetc}",,,7,National,,100,"Institutional,Local,Regional,National,International",,Very Strongly Disagree (1),Disagree (3),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Agree (5),,,,,,Rarely,,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,Never,A few times per year,A few times per year,Never,A few times per week,A few times per year,Never,Every day
18,6,Man,Asian,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,0,,2,Institutional grants,,0,0,,,0,,,Agree (5),Agree (5),Agree (5),Agree (5),Strongly Disagree (2),Disagree (3),Partner does more,Partner does more,Share equally,Share equally,Share equally,Sometimes,Hard to focus on non-work tasks when thinking about work.   Late days can be frustrating for spouse. ,Yes,,Sometimes feel rushed,2 Slightly burned out,A few times per week,Once per week,A few times per year,Once per week,Never,Every day,Never,Never,A few times per week
19,6,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,9,35%,1,5,10,"NIH grants,Industry trials",,23000000,2,National,,25,"Institutional,Local,Regional,National,International",,Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Disagree (3),,,,,,Sometimes,Like for everyone else a sick patient can lead to cancelling a leisure time plan.  when on service of course work is substantially tiring  and I have not much interest in socializing outside work compared to off service weeks,Yes,,Sometimes feel rushed,1 Not at all burned out,A few times per week,A few times per month,A few times per month,Once per month or less,A few times per year,Every day,Once per month or less,Never,A few times per week
20,6,Man,White,Married,Clinician Track (clinical appointment with no academic appointment),,No,,,1,2,0,,,,0,,,0,,,Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Strongly Disagree (2),,,,,,Rarely,,Yes,,Sometimes feel rushed,3 Moderately burned out,Every day,Once per week,Once per week,A few times per month,A few times per month,A few times per week,A few times per month,A few times per year,Once per week
21,6,Man,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Teaching,Non-Tenure",,Yes,2,Residency director,1,12,40,"NIH grants,Institutional grants,Not-for-profit organizational grants,Industry trials",,500000,30,"Institutional,Local,National",,12,"Institutional,Regional,National",,Disagree (3),Disagree (3),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Disagree (3),Partner does more,Partner does more,Partner does more,Partner does more,Partner does more,Never,,No,Already answered in a previous burnout survey,,,,,,,,,,,
22,6,Woman,White,Widowed,"Clinician Track (clinical appointment with no academic appointment),Non-Tenure",,Yes,2,1,1,0,0,,,,0,,,6,"Institutional,Local",,Disagree (3),Agree (5),Disagree (3),Disagree (3),Agree (5),N/A,,,,,,Sometimes,caring for ill or elderly family member,Yes,,Always feel rushed,3 Moderately burned out,A few times per week,A few times per year,A few times per month,Every day,Never,A few times per week,Once per month or less,Never,A few times per week
23,6,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,Division Director,4,4,15,"Not-for-profit organizational grants,Industry trials,Other: {sourceetc}",DOD grant,950000,3,"Regional,National",,5,"Local,National",,Disagree (3),Agree (5),Disagree (3),Strongly Disagree (2),Disagree (3),Agree (5),,,,,,Rarely,,Yes,,Almost never feel rushed,2 Slightly burned out,Every day,Never,A few times per year,Never,Never,A few times per week,A few times per year,Never,A few times per month
24,6,Woman,White,Married,Clinician Track (clinical appointment with no academic appointment),,No,,,0,,6,"NIH grants,Industry trials",,1000,0,,,6,"Local,Regional",,Agree (5),Agree (5),Agree (5),Disagree (3),Disagree (3),Very Strongly Disagree (1),I do more,I do more,I do more,I do more,I do more,Often,"I can't attend events I am invited to due to work schedule. On wards for some weekends so miss events then.  We have meetings during most lunch days, also, so there is little time to meet someone for lunch. I have many messages to take care of every night & charts to do so little time to visit with friends or go to work out. Have to read  a plethora of work emails every day.  Very hard to change schedule & need 6 wk notification. Often times I do not know of events that far in advance. ",No,Survey fatigue,,,,,,,,,,,
25,6,Woman,White,Married,Academic Track - Research,,No,,,8,8,0,,,,3,"Institutional,Local,Regional",,1,International,,Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Agree (5),Share equally,Share equally,Share equally,Share equally,Share equally,Never,,No,Prefer to not answer,,,,,,,,,,,
26,6,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,1,no support,1,2,0,,,,0,,,2,Regional,,Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Partner does more,Partner does more,I do more,Share equally,I do more,Always,"not enough time with child/husband, too exhausted/stressed from work when I do have the time to spend with them",Yes,,Always feel rushed,3 Moderately burned out,A few times per week,Once per week,Every day,Every day,Once per week,Once per week,Every day,Never,Once per week
27,6,Man,Prefer not to say,Single,Academic Track - Teaching,,Yes,1,Less clinic time,6,3,10,"Not-for-profit organizational grants,Industry trials",,200000,2,Institutional,,5,"Institutional,Local,National",,N/A,Strongly Disagree (2),N/A,Strongly Disagree (2),Strongly Disagree (2),N/A,,,,,,Rarely,Rarely work responsibilities take priority over personal life events.,Yes,,Sometimes feel rushed,3 Moderately burned out,Every day,Once per month or less,Once per month or less,A few times per month,A few times per year,A few times per week,A few times per year,Once per month or less,Once per week
28,6,Man,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Research,Academic Track - Teaching,Non-Tenure",,Yes,2,Vice Chair,2,17,9,"NIH grants,Foundational grants,Industry trials",,,2,Institutional,,5,"Regional,National",,Strongly Agree (6),Agree (5),Strongly Agree (6),Agree (5),Agree (5),Strongly Agree (6),Partner does more,Does not apply,Share equally,Partner does more,Partner does more,Always,"I wish that I had the time and energy to be more involved with my children. Between work demands and necessary daily activities (cooking, laundry, home repair) there is little time/energy left for fun emotional connections, and very little time left to form meaningful friendships or connections beyond my immediate family. ",Yes,,Sometimes feel rushed,3 Moderately burned out,Every day,Never,Once per week,A few times per month,Never,Every day,Once per week,A few times per year,A few times per week
29,6,Woman,Not reported,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,1,None,0.5,2,0,,,,0,,,0,,,Disagree (3),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Agree (5),,,,,,Sometimes,Some late nights and weekends working on research/ work duties ,Yes,,Sometimes feel rushed,1 Not at all burned out,A few times per week,Never,Once per week,A few times per year,Never,A few times per week,A few times per year,Never,Every day
30,6,Man,Asian,Single,Academic Track - Research,,No,,,1,2,5,"NIH grants,Foundational grants",,,0,,,0,,,Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Agree (5),,,,,,Rarely,,No,Already answered in a previous burnout survey,,,,,,,,,,,
31,6,Woman,Hispanic/Latino,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,1,0,1,Industry trials,,,0,,,5,"Institutional,Local,Regional,National",,Agree (5),Strongly Disagree (2),Very Strongly Disagree (1),Neither Agree or Disagree (4),Agree (5),Agree (5),I do more,I do more,I do more,I do more,I do more,Always,"there is no time ""off"". Work always creeps into my personal life. even my kids say i am always working.  i sleep later just so i may spend time with my kids and get all my extra work done before bed.   less time for travel or vacation because any time i take time off, the extra work falls on my colleagues.  too much inpatient time, yet academic expectations are high. the problem is there are only 24 hours in a day. without the adequate help and employer support, this is not achievable.",Yes,,Always feel rushed,4 Very burned out,Every day,Never,Every day,A few times per week,Never,Every day,Once per week,Never,A few times per week
32,6,Man,Hispanic/Latino,Domestic partnership,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,1,0.5,0,0,,,,0,,,1,National,,Agree (5),Neither Agree or Disagree (4),Disagree (3),Strongly Disagree (2),Strongly Disagree (2),Very Strongly Agree (7),,,,,,Often,Frequent late night and weekend working hours.,Yes,,Sometimes feel rushed,3 Moderately burned out,Once per week,Never,A few times per month,Once per month or less,A few times per year,Once per week,Never,Never,A few times per month
33,6,Woman,Asian,Long-term committed relationship,"Clinician Track (clinical appointment with no academic appointment),Non-Tenure",,No,,,0,,6,"NIH grants,Institutional grants,Industry trials",,0,0,,,2,Local,,Agree (5),Agree (5),Agree (5),Disagree (3),Agree (5),Agree (5),,,,,,Sometimes,"I have an elderly parent who is difficult.  I am unable to give him what he perceives he needs due to work at times.  While his expectations are somewhat unreasonable, having more leeway to be away from work would be helpful.",Yes,,Almost never feel rushed,2 Slightly burned out,Every day,A few times per month,A few times per year,A few times per year,A few times per year,A few times per month,A few times per month,A few times per year,A few times per week
34,6,Man,Asian,Married,Academic Track - Research,,No,,,0.66,1,0,,,,0,,,0,,,Disagree (3),Disagree (3),Disagree (3),Strongly Disagree (2),Disagree (3),Agree (5),,,,,,Always,,No,Prefer to not answer,,,,,,,,,,,
35,6,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,0,,0,,,,0,,,1,Institutional,,Disagree (3),Agree (5),Neither Agree or Disagree (4),Disagree (3),Disagree (3),Agree (5),,,,,,Sometimes,Many after hours are spent on administrative work for patient care that spills over into time with family.,Yes,,Always feel rushed,2 Slightly burned out,A few times per week,Never,A few times per week,A few times per week,A few times per week,A few times per month,Never,Never,A few times per week
36,6,Man,Asian,Married,Academic Track - Teaching,,No,,,0.5,1,2,"NIH grants,Institutional grants",,300k,0,,,1,Local,,Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Share equally,Other caregiver,Share equally,Share equally,Share equally,Sometimes,time,Yes,,Sometimes feel rushed,3 Moderately burned out,Every day,Never,Once per week,Once per week,Once per month or less,A few times per month,Once per month or less,Never,A few times per week
37,6,Woman,Asian,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,1,Fellowship program director- 10% protected time,0,,0,,,,0,,,3,"Institutional,Local",,Strongly Agree (6),Very Strongly Agree (7),Very Strongly Agree (7),Very Strongly Agree (7),Strongly Disagree (2),Very Strongly Disagree (1),Share equally,Share equally,I do more,I do more,I do more,Often,,Yes,,Always feel rushed,3 Moderately burned out,Every day,Never,A few times per week,A few times per month,Never,Every day,Once per month or less,Never,Every day
38,6,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,0.1 FTE for director role,2,1,0,,,,0,,,3,"Institutional,Regional,National",,Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Other caregiver,Other caregiver,Other caregiver,Partner does more,Partner does more,Sometimes,,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,A few times per year,Once per week,Once per week,Once per week,A few times per week,A few times per month,Never,A few times per month
39,6,Man,Asian,Single,Academic Track - Teaching,,No,,,1,1,0,,,,0,,,0,,,N/A,Agree (5),N/A,Agree (5),N/A,N/A,,,,,,Always,Work takes up the majority of my time,Yes,,Sometimes feel rushed,3 Moderately burned out,A few times per week,Never,A few times per year,A few times per week,A few times per month,Every day,Never,Never,A few times per week
40,6,Man,Hispanic/Latino,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,7,None,6,0,20,"NIH grants,Industry trials",,Not sure,4,"Institutional,Regional",,12,"Institutional,Local",,Neither Agree or Disagree (4),Disagree (3),Neither Agree or Disagree (4),Disagree (3),Agree (5),Disagree (3),Partner does more,Partner does more,Partner does more,Partner does more,Partner does more,Often,,No,Survey fatigue,,,,,,,,,,,
41,6,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,4,Residency program director with $20k/year SAC and ACGME-mandated protected time,7,2,3,"Industry trials,Other: {sourceetc}","NINDS, CPRIT","8% FTE for the CPRIT project. The NeuroNext and industry one, not sure - no protected time built in and no idea whether the financial accounts are accurate.",1,Institutional,AOA nomination by the medical school,1,National,AAN co-moderator and discussant for a session,Agree (5),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Agree (5),Neither Agree or Disagree (4),Disagree (3),I do more,I do more,I do more,I do more,Share equally,Sometimes,,Yes,,Always feel rushed,2 Slightly burned out,Every day,A few times per year,A few times per week,A few times per year,A few times per year,Every day,A few times per year,Never,Every day
42,6,Man,Asian,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,1,5,0,,,,0,,,6,Regional,,Neither Agree or Disagree (4),Agree (5),Neither Agree or Disagree (4),Agree (5),Disagree (3),Strongly Disagree (2),,,,,,Often,Time spent on research/ academic activities takes up a significant portion of my personal time,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,Never,A few times per week,A few times per week,Never,A few times per year,Once per month or less,Never,A few times per year
43,6,Woman,White,Divorced,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,1,section head,0,,0,,,,0,,,2,"Regional,National",,Disagree (3),Disagree (3),Disagree (3),Very Strongly Disagree (1),Strongly Disagree (2),Neither Agree or Disagree (4),,,,,,Always,Did not have children. Chose to invest my effort in work.  Do not own a home. Renting so that there is less housework to take time away from work.  Divorced. Don't have much time to pursue a relationship  I purposely limit the number of leisure and social activities I will participate in because I don't want to spread myself too thin. ,Yes,,Always feel rushed,5 Completely burned out,Every day,Once per month or less,Every day,A few times per week,A few times per week,A few times per month,Every day,A few times per month,Once per month or less
44,6,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,1,none,1,1,0,,,,1,National,,1,Regional,,Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Disagree (3),I do more,I do more,I do more,I do more,I do more,Sometimes,,Yes,,Always feel rushed,4 Very burned out,A few times per week,A few times per week,Every day,Every day,A few times per week,Every day,Every day,Never,Once per week
45,4,Man,White,Married,Clinician Track (clinical appointment with no academic appointment),,No,,,0,,0,,,,0,,,0,,,Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Agree (5),Strongly Agree (6),,,,,,Always,emotionally draining to the point of coming home and needing to relax and cool down from heightened state.  Leaves less quality time with my spouse.,Yes,,Sometimes feel rushed,3 Moderately burned out,A few times per week,A few times per year,A few times per week,Once per month or less,Once per month or less,A few times per week,A few times per month,Never,A few times per week
46,4,Man,Asian,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,10,Vice Chair Neurology,2,12,4,"NIH grants,Industry trials",,"200,000",4,Institutional,,6,National,,Disagree (3),Agree (5),Disagree (3),Disagree (3),Disagree (3),Agree (5),,,,,,Sometimes,Time demands cause loss of attention to family,No,Prefer to not answer,,,,,,,,,,,
47,4,Woman,"Asian,Unknown",Married,Clinician Track (clinical appointment with no academic appointment),,Yes,1,0,0.25,0,0,,,,1,Institutional,,2,Institutional,,Agree (5),Agree (5),Agree (5),Agree (5),Agree (5),Agree (5),Share equally,Share equally,Share equally,Share equally,Share equally,Sometimes,Not enough work flexibility to integrate family life,Yes,,Always feel rushed,2 Slightly burned out,Every day,A few times per month,A few times per week,Once per week,A few times per year,A few times per week,A few times per month,Never,Every day
48,4,Man,Hispanic/Latino,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,3,0,0,,2,Foundational grants,,"10,000",0,,,10,"Local,International",,Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Agree (5),,,,,,Rarely,time demand,No,Prefer to not answer,,,,,,,,,,,
49,4,Man,White,Married,Tenure Track,,Yes,1,Committee chair,5,5,26,"NIH grants,Institutional grants,Foundational grants",,#1.3 million,26,"Institutional,National",,45,"Institutional,Local,Regional,National,International",,Disagree (3),Disagree (3),Disagree (3),Neither Agree or Disagree (4),Disagree (3),Disagree (3),,,,,,Sometimes,There are times when most weekends are filled with work (e.g. during grant submissions),No,Prefer to not answer,,,,,,,,,,,
50,4,Man,White,Married,Tenure Track,,Yes,3,PI,2,5,2,Institutional grants,,150000,1,Institutional,,2,Local,,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Neither Agree or Disagree (4),,,,,,Rarely,"Helping family when acutely ill can rarely happen, which requires prompt attention that can divert time away from work. ",No,Survey fatigue,,,,,,,,,,,
